& VCR & MJH & JAE & GHA & MFGR & mu & sigma & CLO & RLO & RRU & JGZ & mu & sigma & FGH & MGG & EMT 
 C3 & 0.296    & 0.148    & 0.121    & 0.308    & 0.300    & 0.235    & 0.092    & 0.065    & 0.222    & 0.297    & 0.047    & 0.158    & 0.122    & 0.044    & 0.222    & 0.146    
 C4 & 0.293    & 0.141    & 0.103    & 0.308    & 0.263    & 0.222    & 0.094    & 0.042    & 0.207    & 0.334    & 0.039    & 0.156    & 0.143    & 0.020    & 0.223    & 0.184    
 CZ & 0.279    & 0.142    & 0.111    & 0.279    & 0.240    & 0.210    & 0.079    & 0.063    & 0.197    & 0.292    & 0.052    & 0.151    & 0.115    & 0.022    & 0.187    & 0.148    
 F3 & 0.285    & 0.152    & 0.103    & 0.247    & 0.227    & 0.203    & 0.074    & 0.068    & 0.258    & 0.267    & 0.059    & 0.163    & 0.115    & 0.279    & 0.152    & 0.090    
 F4 & 0.283    & 0.150    & 0.066    & 0.291    & 0.175    & 0.193    & 0.095    & 0.050    & 0.202    & 0.258    & 0.041    & 0.138    & 0.109    & -      & 0.137    & 0.191    
 F7 & 0.254    & 0.147    & 0.087    & 0.245    & 0.240    & 0.195    & 0.074    & 0.049    & 0.154    & 0.223    & 0.048    & 0.118    & 0.085    & -      & 0.150    & 0.076    
 F8 & 0.282    & 0.130    & 0.040    & 0.276    & 0.184    & 0.182    & 0.102    & 0.048    & 0.141    & 0.248    & 0.040    & 0.119    & 0.098    & -      & 0.126    & 0.186    
 FP1 & 0.225    & 0.079    & 0.026    & 0.239    & 0.204    & 0.155    & 0.096    & 0.036    & -      & 0.209    & 0.036    & 0.070    & 0.094    & 0.995    & 0.164    & 0.144    
 FP2 & 0.253    & 0.085    & 0.052    & 0.278    & 0.148    & 0.163    & 0.100    & 0.036    & 0.135    & 0.154    & 0.036    & 0.090    & 0.063    & -      & 0.143    & 0.108    
 FZ & 0.282    & 0.147    & 0.107    & 0.287    & 0.235    & 0.212    & 0.081    & 0.066    & 0.238    & 0.268    & 0.056    & 0.157    & 0.112    & -      & 0.191    & 0.182    
 O1 & 0.347    & 0.188    & 0.062    & 0.126    & 0.402    & 0.225    & 0.145    & 0.053    & 0.207    & 0.349    & 0.081    & 0.172    & 0.135    & 0.062    & 0.153    & 0.245    
 O2 & 0.337    & 0.182    & 0.073    & 0.205    & 0.403    & 0.240    & 0.131    & 0.037    & 0.201    & 0.297    & 0.089    & 0.156    & 0.116    & 0.057    & 0.168    & 0.200    
 P3 & 0.321    & 0.135    & 0.061    & 0.270    & 0.348    & 0.227    & 0.124    & 0.082    & 0.213    & 0.326    & 0.079    & 0.175    & 0.118    & 0.074    & 0.229    & 0.139    
 P4 & 0.321    & 0.150    & 0.123    & 0.301    & 0.304    & 0.240    & 0.095    & 0.064    & 0.191    & 0.331    & 0.061    & 0.162    & 0.128    & 0.054    & 0.215    & 0.151    
 PZ & 0.307    & 0.141    & 0.105    & 0.272    & 0.288    & 0.223    & 0.093    & 0.065    & 0.235    & 0.323    & 0.049    & 0.168    & 0.134    & 0.040    & 0.180    & 0.130    
 T3 & 0.297    & 0.164    & 0.058    & 0.161    & 0.327    & 0.201    & 0.110    & 0.096    & 0.173    & 0.260    & 0.085    & 0.153    & 0.081    & 0.072    & 0.140    & 0.173    
 T4 & 0.324    & 0.137    & 0.041    & 0.299    & 0.323    & 0.225    & 0.129    & 0.031    & 0.171    & 0.323    & 0.073    & 0.150    & 0.130    & 0.025    & 0.128    & 0.150    
 T5 & 0.353    & 0.167    & 0.018    & 0.140    & 0.391    & 0.214    & 0.156    & 0.088    & 0.202    & 0.337    & 0.052    & 0.170    & 0.128    & 0.052    & 0.232    & 0.223    
 T6 & 0.335    & 0.161    & 0.057    & 0.234    & 0.385    & 0.234    & 0.132    & 0.043    & 0.168    & 0.317    & 0.071    & 0.150    & 0.123    & 0.044    & 0.212    & 0.234    
 LOG & 0.277    & 0.236    & 0.245    & 0.347    & 0.335    & 0.288    & 0.051    & 0.158    & 0.232    & 0.313    & 0.186    & 0.222    & 0.068    & 0.126    & 0.432    & 0.346    
 ROG & 0.275    & 0.219    & 0.252    & 0.355    & 0.351    & 0.290    & 0.061    & 0.143    & 0.220    & 0.273    & 0.187    & 0.206    & 0.055    & 0.165    & 0.460    & 0.407    
 EMG & 0.307    & 0.071    & 0.018    & 0.006    & 0.358    & 0.152    & 0.167    & 0.036    & 0.116    & 0.273    & 0.008    & 0.108    & 0.119    & 0.002    & 0.056    & 0.077    
