& VCR & MJH & JAE & GHA & MFGR & mu & sigma & CLO & RLO & RRU & JGZ & mu & sigma & FGH & MGG & EMT 
 C3 & 0.292    & 0.149    & 0.136    & 0.308    & 0.289    & 0.235    & 0.085    & 0.068    & 0.205    & 0.287    & 0.048    & 0.152    & 0.114    & 0.042    & 0.233    & 0.142    
 C4 & 0.294    & 0.143    & 0.121    & 0.311    & 0.251    & 0.224    & 0.087    & 0.044    & 0.181    & 0.325    & 0.040    & 0.147    & 0.135    & 0.018    & 0.240    & 0.181    
 CZ & 0.283    & 0.145    & 0.120    & 0.279    & 0.229    & 0.211    & 0.076    & 0.067    & 0.194    & 0.287    & 0.053    & 0.150    & 0.111    & 0.021    & 0.208    & 0.138    
 F3 & 0.283    & 0.148    & 0.113    & 0.254    & 0.226    & 0.205    & 0.072    & 0.070    & 0.234    & 0.259    & 0.058    & 0.155    & 0.106    & 0.279    & 0.166    & 0.091    
 F4 & 0.284    & 0.146    & 0.075    & 0.297    & 0.173    & 0.195    & 0.095    & 0.050    & 0.181    & 0.254    & 0.042    & 0.132    & 0.103    & -      & 0.159    & 0.179    
 F7 & 0.258    & 0.151    & 0.105    & 0.248    & 0.248    & 0.202    & 0.070    & 0.055    & 0.150    & 0.237    & 0.049    & 0.123    & 0.089    & -      & 0.176    & 0.079    
 F8 & 0.282    & 0.136    & 0.041    & 0.284    & 0.191    & 0.187    & 0.103    & 0.050    & 0.129    & 0.268    & 0.041    & 0.122    & 0.105    & -      & 0.148    & 0.181    
 FP1 & 0.231    & 0.083    & 0.031    & 0.248    & 0.210    & 0.161    & 0.097    & 0.042    & -      & 0.221    & 0.037    & 0.075    & 0.099    & 0.995    & 0.196    & 0.142    
 FP2 & 0.257    & 0.091    & 0.060    & 0.285    & 0.155    & 0.170    & 0.099    & 0.041    & 0.133    & 0.165    & 0.037    & 0.094    & 0.065    & -      & 0.169    & 0.110    
 FZ & 0.277    & 0.148    & 0.106    & 0.296    & 0.233    & 0.212    & 0.082    & 0.068    & 0.218    & 0.259    & 0.055    & 0.150    & 0.104    & -      & 0.205    & 0.171    
 O1 & 0.334    & 0.192    & 0.069    & 0.130    & 0.396    & 0.224    & 0.137    & 0.059    & 0.201    & 0.336    & 0.082    & 0.169    & 0.127    & 0.052    & 0.162    & 0.242    
 O2 & 0.329    & 0.182    & 0.086    & 0.209    & 0.397    & 0.241    & 0.123    & 0.039    & 0.182    & 0.289    & 0.090    & 0.150    & 0.110    & 0.057    & 0.186    & 0.209    
 P3 & 0.317    & 0.135    & 0.072    & 0.274    & 0.335    & 0.227    & 0.117    & 0.089    & 0.197    & 0.322    & 0.081    & 0.172    & 0.113    & 0.076    & 0.245    & 0.130    
 P4 & 0.320    & 0.150    & 0.147    & 0.305    & 0.288    & 0.242    & 0.086    & 0.069    & 0.181    & 0.324    & 0.062    & 0.159    & 0.123    & 0.047    & 0.238    & 0.144    
 PZ & 0.303    & 0.145    & 0.122    & 0.274    & 0.270    & 0.223    & 0.083    & 0.070    & 0.224    & 0.319    & 0.050    & 0.166    & 0.128    & 0.039    & 0.205    & 0.128    
 T3 & 0.289    & 0.155    & 0.071    & 0.162    & 0.314    & 0.198    & 0.101    & 0.100    & 0.150    & 0.257    & 0.087    & 0.148    & 0.077    & 0.070    & 0.133    & 0.175    
 T4 & 0.320    & 0.134    & 0.048    & 0.304    & 0.315    & 0.224    & 0.126    & 0.032    & 0.147    & 0.317    & 0.074    & 0.143    & 0.126    & 0.026    & 0.141    & 0.138    
 T5 & 0.346    & 0.161    & 0.022    & 0.145    & 0.383    & 0.211    & 0.151    & 0.096    & 0.183    & 0.335    & 0.052    & 0.166    & 0.125    & 0.050    & 0.241    & 0.215    
 T6 & 0.331    & 0.164    & 0.067    & 0.237    & 0.377    & 0.235    & 0.125    & 0.047    & 0.158    & 0.308    & 0.072    & 0.146    & 0.118    & 0.047    & 0.242    & 0.234    
 LOG & 0.287    & 0.248    & 0.291    & 0.357    & 0.345    & 0.306    & 0.045    & 0.177    & 0.248    & 0.333    & 0.192    & 0.237    & 0.070    & 0.131    & 0.506    & 0.352    
 ROG & 0.283    & 0.227    & 0.288    & 0.367    & 0.359    & 0.305    & 0.059    & 0.155    & 0.240    & 0.284    & 0.192    & 0.218    & 0.056    & 0.175    & 0.527    & 0.413    
 EMG & 0.301    & 0.069    & 0.022    & 0.006    & 0.357    & 0.151    & 0.165    & 0.025    & 0.110    & 0.284    & 0.009    & 0.107    & 0.126    & 0.003    & 0.064    & 0.083    
