& VCR & MJH & JAE & GHA & MFGR & mu & sigma & CLO & RLO & RRU & JGZ & mu & sigma & FGH & MGG & EMT 
 C3 & 0.340    & 0.142    & 0.058    & 0.299    & 0.397    & 0.247    & 0.142    & 0.045    & 0.354    & 0.395    & 0.030    & 0.206    & 0.195    & 0.091    & 0.169    & 0.191    
 C4 & 0.290    & 0.126    & 0.023    & 0.239    & 0.363    & 0.208    & 0.135    & 0.030    & 0.404    & 0.430    & -      & 0.216    & 0.233    & 0.045    & 0.139    & 0.213    
 CZ & 0.230    & 0.126    & 0.076    & 0.276    & 0.333    & 0.208    & 0.106    & 0.038    & 0.222    & 0.342    & 0.030    & 0.158    & 0.151    & 0.045    & 0.078    & 0.255    
 F3 & 0.310    & 0.181    & 0.058    & 0.075    & 0.240    & 0.173    & 0.107    & 0.053    & 0.434    & 0.342    & 0.091    & 0.230    & 0.187    & 0.273    & 0.084    & 0.085    
 F4 & 0.275    & 0.181    & 0.029    & 0.149    & 0.191    & 0.165    & 0.089    & 0.045    & 0.364    & 0.298    & -      & 0.177    & 0.181    & -      & 0.024    & 0.319    
 F7 & 0.205    & 0.118    & 0.012    & 0.179    & 0.180    & 0.139    & 0.078    & 0.008    & 0.182    & 0.079    & -      & 0.067    & 0.084    & -      & 0.012    & 0.043    
 F8 & 0.285    & 0.087    & 0.035    & 0.097    & 0.120    & 0.125    & 0.095    & 0.030    & 0.232    & 0.053    & -      & 0.079    & 0.105    & -      & 0.012    & 0.234    
 FP1 & 0.150    & 0.055    & 0.006    & 0.045    & 0.154    & 0.082    & 0.066    & -      & -      & 0.088    & -      & 0.022    & 0.044    & 1.000    & -      & 0.170    
 FP2 & 0.205    & 0.047    & 0.018    & 0.097    & 0.090    & 0.091    & 0.071    & 0.008    & 0.152    & 0.053    & -      & 0.053    & 0.070    & -      & 0.006    & 0.085    
 FZ & 0.335    & 0.142    & 0.111    & 0.082    & 0.251    & 0.184    & 0.106    & 0.053    & 0.384    & 0.360    & 0.061    & 0.214    & 0.182    & -      & 0.120    & 0.298    
 O1 & 0.500    & 0.157    & 0.029    & 0.030    & 0.453    & 0.234    & 0.228    & 0.015    & 0.253    & 0.474    & 0.061    & 0.200    & 0.209    & 0.227    & 0.108    & 0.277    
 O2 & 0.425    & 0.181    & 0.018    & 0.090    & 0.453    & 0.233    & 0.197    & 0.023    & 0.343    & 0.377    & 0.030    & 0.193    & 0.193    & 0.045    & 0.072    & 0.106    
 P3 & 0.370    & 0.134    & 0.012    & 0.172    & 0.461    & 0.230    & 0.182    & 0.038    & 0.333    & 0.360    & -      & 0.183    & 0.190    & 0.045    & 0.145    & 0.234    
 P4 & 0.330    & 0.150    & 0.023    & 0.216    & 0.438    & 0.232    & 0.160    & 0.030    & 0.273    & 0.404    & 0.030    & 0.184    & 0.186    & 0.182    & 0.090    & 0.234    
 PZ & 0.355    & 0.118    & 0.029    & 0.239    & 0.438    & 0.236    & 0.167    & 0.030    & 0.323    & 0.360    & -      & 0.178    & 0.189    & 0.045    & 0.048    & 0.149    
 T3 & 0.395    & 0.228    & 0.006    & 0.142    & 0.431    & 0.240    & 0.177    & 0.076    & 0.343    & 0.289    & -      & 0.177    & 0.165    & 0.091    & 0.175    & 0.149    
 T4 & 0.365    & 0.157    & 0.012    & 0.194    & 0.390    & 0.224    & 0.156    & 0.023    & 0.354    & 0.386    & 0.030    & 0.198    & 0.199    & -      & 0.060    & 0.277    
 T5 & 0.425    & 0.205    & -      & 0.030    & 0.453    & 0.223    & 0.213    & 0.038    & 0.343    & 0.360    & 0.061    & 0.200    & 0.175    & 0.091    & 0.187    & 0.319    
 T6 & 0.380    & 0.142    & 0.018    & 0.149    & 0.449    & 0.228    & 0.180    & 0.023    & 0.242    & 0.404    & 0.061    & 0.182    & 0.176    & -      & 0.054    & 0.234    
 LOG & 0.165    & 0.157    & 0.047    & 0.104    & 0.255    & 0.146    & 0.077    & 0.038    & 0.111    & 0.114    & -      & 0.066    & 0.056    & 0.045    & 0.048    & 0.277    
 ROG & 0.180    & 0.165    & 0.099    & 0.067    & 0.288    & 0.160    & 0.085    & 0.068    & 0.071    & 0.158    & 0.030    & 0.082    & 0.054    & -      & 0.114    & 0.340    
 EMG & 0.370    & 0.087    & -      & 0.007    & 0.363    & 0.165    & 0.187    & 0.106    & 0.162    & 0.158    & -      & 0.106    & 0.075    & -      & 0.018    & 0.021    
