: VCR : MJH : JAE : GHA? : MFGR? ::
 C3 : 0.237    : 0.149    : 0.030    : 0.160    :: 0.144    : 0.086    
 C4 : 0.213    : 0.143    : 0.033    : 0.146    :: 0.134    : 0.075    
 CZ : 0.212    : 0.145    : 0.030    : 0.100    :: 0.122    : 0.077    
 F3 : 0.213    : 0.148    : 0.037    : 0.136    :: 0.134    : 0.073    
 F4 : 0.228    : 0.146    : 0.024    : 0.131    :: 0.133    : 0.084    
 F7 : 0.201    : 0.151    : 0.039    : 0.191    :: 0.146    : 0.074    
 F8 : 0.199    : 0.136    : 0.019    : 0.146    :: 0.125    : 0.076    
 FP1 : 0.207    : 0.083    : 0.018    : 0.100    :: 0.102    : 0.078    
 FP2 : 0.198    : 0.091    : 0.027    : 0.106    :: 0.105    : 0.070    
 FZ : 0.216    : 0.148    : 0.034    : 0.144    :: 0.136    : 0.075    
 O1 : 0.256    : 0.192    : 0.023    : 0.272    :: 0.186    : 0.114    
 O2 : 0.211    : 0.182    : 0.023    : 0.224    :: 0.160    : 0.093    
 P3 : 0.222    : 0.135    : 0.012    : 0.266    :: 0.159    : 0.112    
 P4 : 0.228    : 0.150    : 0.034    : 0.229    :: 0.161    : 0.092    
 PZ : 0.198    : 0.145    : 0.019    : 0.199    :: 0.140    : 0.085    
 T3 : 0.230    : 0.155    : 0.027    : 0.212    :: 0.156    : 0.092    
 T4 : 0.230    : 0.134    : 0.015    : 0.180    :: 0.140    : 0.092    
 T5 : 0.277    : 0.161    : -      : 0.248    :: 0.172    : 0.124    
 T6 : 0.277    : 0.164    : 0.023    : 0.193    :: 0.164    : 0.106    
 LOG : 0.299    : 0.248    : 0.118    : 0.263    :: 0.232    : 0.079    
 ROG : 0.299    : 0.227    : 0.091    : 0.307    :: 0.231    : 0.100    
 EMG : 0.119    : 0.069    : 0.005    : 0.002    :: 0.049    : 0.056    
