&CLO &RLO &RRU &JGZ &&
 C3 &0.045    &0.354    &0.421    &0.030    &0.213    &0.204    
 C4 &0.030    &0.404    &0.132    &-    &0.141    &0.184    
 CZ &0.038    &0.222    &0.105    &0.030    &0.099    &0.089    
 F3 &0.053    &0.434    &0.079    &0.091    &0.164    &0.181    
 F4 &0.045    &0.364    &0.132    &-    &0.135    &0.162    
 F7 &0.008    &0.182    &-    &-    &0.047    &0.090    
 F8 &0.030    &0.232    &0.026    &-    &0.072    &0.108    
 FP1 &-    &-    &0.026    &-    &0.007    &0.013    
 FP2 &0.008    &0.152    &0.026    &-    &0.046    &0.071    
 FZ &0.053    &0.384    &0.053    &0.061    &0.138    &0.164    
 O1 &0.015    &0.253    &0.237    &0.061    &0.141    &0.121    
 O2 &0.023    &0.343    &0.237    &0.030    &0.158    &0.158    
 P3 &0.038    &0.333    &0.211    &-    &0.145    &0.155    
 P4 &0.030    &0.273    &0.132    &0.030    &0.116    &0.115    
 PZ &0.030    &0.323    &0.105    &-    &0.115    &0.146    
 T3 &0.076    &0.343    &0.105    &-    &0.131    &0.148    
 T4 &0.023    &0.354    &0.158    &0.030    &0.141    &0.155    
 T5 &0.038    &0.343    &0.132    &0.061    &0.143    &0.139    
 T6 &0.023    &0.242    &0.105    &0.061    &0.108    &0.096    
 LOG &0.038    &0.111    &0.053    &-    &0.050    &0.046    
 ROG &0.068    &0.071    &0.105    &0.030    &0.069    &0.031    
 EMG &0.106    &0.162    &0.105    &-    &0.093    &0.068    
