& FGH & MGG & EMT 
 C3 & 0.042    & 0.233    & 0.142    
 C4 & 0.018    & 0.240    & 0.181    
 CZ & 0.021    & 0.208    & 0.138    
 F3 & 0.279    & 0.166    & 0.091    
 F4 & -      & 0.159    & 0.179    
 F7 & -      & 0.176    & 0.079    
 F8 & -      & 0.148    & 0.181    
 FP1 & 0.995    & 0.196    & 0.142    
 FP2 & -      & 0.169    & 0.110    
 FZ & -      & 0.205    & 0.171    
 O1 & 0.052    & 0.162    & 0.242    
 O2 & 0.057    & 0.186    & 0.209    
 P3 & 0.076    & 0.245    & 0.130    
 P4 & 0.047    & 0.238    & 0.144    
 PZ & 0.039    & 0.205    & 0.128    
 T3 & 0.070    & 0.133    & 0.175    
 T4 & 0.026    & 0.141    & 0.138    
 T5 & 0.050    & 0.241    & 0.215    
 T6 & 0.047    & 0.242    & 0.234    
 LOG & 0.131    & 0.506    & 0.352    
 ROG & 0.175    & 0.527    & 0.413    
 EMG & 0.003    & 0.064    & 0.083    
