: VCR : MJH : JAE : GHA? : MFGR? ::
 C3 : 0.082    : 0.142    : 0.047    : 0.189    :: 0.115    : 0.063    
 C4 : 0.096    : 0.126    : 0.006    : 0.126    :: 0.089    : 0.057    
 CZ : 0.027    : 0.126    : 0.006    : 0.095    :: 0.063    : 0.056    
 F3 : 0.068    : 0.181    : 0.018    : 0.147    :: 0.104    : 0.074    
 F4 : 0.151    : 0.181    : -      : 0.168    :: 0.125    : 0.084    
 F7 : 0.068    : 0.118    : 0.006    : 0.232    :: 0.106    : 0.095    
 F8 : 0.055    : 0.087    : -      : 0.242    :: 0.096    : 0.104    
 FP1 : 0.027    : 0.055    : 0.058    : 0.253    :: 0.098    : 0.104    
 FP2 : 0.014    : 0.047    : 0.006    : 0.105    :: 0.043    : 0.045    
 FZ : 0.151    : 0.142    : 0.012    : 0.126    :: 0.108    : 0.065    
 O1 : 0.137    : 0.157    : -      : 0.284    :: 0.145    : 0.116    
 O2 : 0.178    : 0.181    : -      : 0.274    :: 0.158    : 0.114    
 P3 : 0.082    : 0.134    : -      : 0.263    :: 0.120    : 0.110    
 P4 : 0.055    : 0.150    : -      : 0.295    :: 0.125    : 0.129    
 PZ : 0.055    : 0.118    : -      : 0.221    :: 0.098    : 0.095    
 T3 : 0.137    : 0.228    : -      : 0.274    :: 0.160    : 0.121    
 T4 : 0.164    : 0.157    : -      : 0.116    :: 0.109    : 0.076    
 T5 : 0.137    : 0.205    : -      : 0.211    :: 0.138    : 0.098    
 T6 : 0.205    : 0.142    : -      : 0.263    :: 0.153    : 0.113    
 LOG : 0.082    : 0.157    : 0.018    : 0.263    :: 0.130    : 0.106    
 ROG : 0.082    : 0.165    : 0.006    : 0.316    :: 0.142    : 0.133    
 EMG : 0.192    : 0.087    : 0.012    : -      :: 0.073    : 0.088    
