& FGH & MGG & EMT 
 C3 & 0.044    & 0.222    & 0.146    
 C4 & 0.020    & 0.223    & 0.184    
 CZ & 0.022    & 0.187    & 0.148    
 F3 & 0.279    & 0.152    & 0.090    
 F4 & -      & 0.137    & 0.191    
 F7 & -      & 0.150    & 0.076    
 F8 & -      & 0.126    & 0.186    
 FP1 & 0.995    & 0.164    & 0.144    
 FP2 & -      & 0.143    & 0.108    
 FZ & -      & 0.191    & 0.182    
 O1 & 0.062    & 0.153    & 0.245    
 O2 & 0.057    & 0.168    & 0.200    
 P3 & 0.074    & 0.229    & 0.139    
 P4 & 0.054    & 0.215    & 0.151    
 PZ & 0.040    & 0.180    & 0.130    
 T3 & 0.072    & 0.140    & 0.173    
 T4 & 0.025    & 0.128    & 0.150    
 T5 & 0.052    & 0.232    & 0.223    
 T6 & 0.044    & 0.212    & 0.234    
 LOG & 0.126    & 0.432    & 0.346    
 ROG & 0.165    & 0.460    & 0.407    
 EMG & 0.002    & 0.056    & 0.077    
