& CLO & RLO & RRU & JGZ &&
 C3 & 0.065    & 0.222    & 0.222    & 0.047    & 0.139    & 0.096    
 C4 & 0.042    & 0.207    & 0.239    & 0.039    & 0.132    & 0.106    
 CZ & 0.063    & 0.197    & 0.176    & 0.052    & 0.122    & 0.075    
 F3 & 0.068    & 0.258    & 0.198    & 0.059    & 0.146    & 0.098    
 F4 & 0.050    & 0.202    & 0.205    & 0.041    & 0.124    & 0.092    
 F7 & 0.049    & 0.154    & 0.164    & 0.048    & 0.104    & 0.064    
 F8 & 0.048    & 0.141    & 0.210    & 0.040    & 0.110    & 0.081    
 FP1 & 0.036    & -      & 0.174    & 0.036    & 0.062    & 0.077    
 FP2 & 0.036    & 0.135    & 0.065    & 0.036    & 0.068    & 0.046    
 FZ & 0.066    & 0.238    & 0.225    & 0.056    & 0.146    & 0.099    
 O1 & 0.053    & 0.207    & 0.244    & 0.081    & 0.146    & 0.093    
 O2 & 0.037    & 0.201    & 0.191    & 0.089    & 0.129    & 0.080    
 P3 & 0.082    & 0.213    & 0.280    & 0.079    & 0.163    & 0.100    
 P4 & 0.064    & 0.191    & 0.278    & 0.061    & 0.149    & 0.105    
 PZ & 0.065    & 0.235    & 0.280    & 0.049    & 0.157    & 0.118    
 T3 & 0.096    & 0.173    & 0.203    & 0.085    & 0.139    & 0.058    
 T4 & 0.031    & 0.171    & 0.285    & 0.073    & 0.140    & 0.113    
 T5 & 0.088    & 0.202    & 0.263    & 0.052    & 0.151    & 0.098    
 T6 & 0.043    & 0.168    & 0.246    & 0.071    & 0.132    & 0.093    
 LOG & 0.158    & 0.232    & 0.314    & 0.186    & 0.222    & 0.068    
 ROG & 0.143    & 0.220    & 0.275    & 0.187    & 0.206    & 0.056    
 EMG & 0.036    & 0.116    & 0.275    & 0.008    & 0.109    & 0.120    
