&VCR &MJH &JAE &GHA? &MFGR? &CLO &RLO &RRU &JGZ &FGH &MGG &EMT 
C3 &1048&201&41&1376&&99&249&524&101&28&285&116
C4 &989&188&41&1372&&72&232&547&109&16&306&146
CZ &999&185&37&1260&&86&221&519&115&13&289&115
F3 &927&101&11&26&&28&116&501&18&5&91&63
F4 &972&196&47&1136&&96&257&485&124&319&220&74
F7 &1014&188&28&1256&&67&229&446&88&0&233&129
F8 &899&181&45&1141&&77&180&407&100&0&214&67
FP1 &966&162&19&1194&&56&152&464&81&0&194&134
FP2 &848&133&23&1079&&54&0&404&73&381&243&110
FZ &922&121&28&1160&&52&151&297&73&0&232&91
O1 &972&198&44&1259&&90&273&470&134&0&271&135
O2 &1022&317&124&1462&&179&272&548&341&89&541&250
P3 &1163&228&34&602&&79&227&563&163&31&239&206
P4 &1138&238&33&991&&48&206&508&166&32&255&175
PZ &1057&194&19&1261&&109&225&552&142&45&313&128
T3 &1106&195&44&1359&&85&214&579&111&28&301&124
T4 &1055&210&30&1258&&91&254&574&107&24&278&115
T5 &1002&292&95&1493&&178&263&501&319&97&553&288
T6 &1003&192&32&838&&113&163&454&161&42&174&141
LOG &1072&169&22&1322&&46&182&535&127&16&193&110
ROG &1198&190&1&665&&125&209&560&87&37&304&160
EMG &1159&197&28&1001&&54&178&531&141&30&301&172
Total&2384&896&736&3014&&812&747&1130&1174&383&864&508
