&VCR &MJH &JAE &GHA? &MFGR? &CLO &RLO &RRU &JGZ &FGH &MGG &EMT 
C3 &1154&228&57&1487&&107&299&589&104&31&325&133
C4 &1076&211&42&1497&&79&290&610&110&17&339&162
CZ &1082&210&38&1376&&93&255&581&117&16&318&132
F3 &1019&116&14&28&&47&136&530&18&5&96&65
F4 &1067&233&52&1233&&104&311&542&128&338&247&80
F7 &1106&218&29&1366&&74&277&498&89&0&241&145
F8 &960&203&46&1211&&80&208&427&100&0&220&70
FP1 &1048&190&19&1305&&62&188&477&81&0&196&148
FP2 &898&145&35&1207&&55&0&419&73&403&244&119
FZ &981&132&29&1257&&53&171&313&73&0&234&95
O1 &1066&230&46&1363&&105&330&532&140&0&298&152
O2 &1074&351&127&1600&&184&288&570&341&90&556&265
P3 &1295&266&35&633&&84&270&635&165&36&271&228
P4 &1261&275&34&1065&&51&250&569&169&33&279&189
PZ &1161&223&19&1360&&117&274&613&143&46&349&146
T3 &1210&223&44&1472&&91&255&640&114&34&327&140
T4 &1161&237&30&1363&&99&300&641&107&27&295&130
T5 &1062&325&96&1626&&190&276&530&320&97&581&307
T6 &1122&229&33&893&&128&208&499&161&46&221&155
LOG &1181&202&22&1436&&52&224&595&128&16&206&127
ROG &1313&233&1&697&&138&257&623&92&41&362&179
EMG &1267&230&28&1072&&59&214&600&144&30&323&188
Total&2584&1032&907&3281&&944&846&1244&1207&405&1030&555
