& FGH & MGG & EMT 
 C3 & 0.091    & 0.169    & 0.191    
 C4 & 0.045    & 0.139    & 0.213    
 CZ & 0.045    & 0.078    & 0.255    
 F3 & 0.273    & 0.084    & 0.085    
 F4 & -      & 0.024    & 0.319    
 F7 & -      & 0.012    & 0.043    
 F8 & -      & 0.012    & 0.234    
 FP1 & 1.000    & -      & 0.170    
 FP2 & -      & 0.006    & 0.085    
 FZ & -      & 0.120    & 0.298    
 O1 & 0.227    & 0.108    & 0.277    
 O2 & 0.045    & 0.072    & 0.106    
 P3 & 0.045    & 0.145    & 0.234    
 P4 & 0.182    & 0.090    & 0.234    
 PZ & 0.045    & 0.048    & 0.149    
 T3 & 0.091    & 0.175    & 0.149    
 T4 & -      & 0.060    & 0.277    
 T5 & 0.091    & 0.187    & 0.319    
 T6 & -      & 0.054    & 0.234    
 LOG & 0.045    & 0.048    & 0.277    
 ROG & -      & 0.114    & 0.340    
 EMG & -      & 0.018    & 0.021    
