& CLO & RLO & RRU & JGZ &&
 C3 & 0.068    & 0.205    & 0.202    & 0.048    & 0.131    & 0.085    
 C4 & 0.044    & 0.181    & 0.250    & 0.040    & 0.129    & 0.104    
 CZ & 0.067    & 0.194    & 0.184    & 0.053    & 0.124    & 0.075    
 F3 & 0.070    & 0.234    & 0.210    & 0.058    & 0.143    & 0.092    
 F4 & 0.050    & 0.181    & 0.213    & 0.042    & 0.121    & 0.088    
 F7 & 0.055    & 0.150    & 0.181    & 0.049    & 0.109    & 0.066    
 F8 & 0.050    & 0.129    & 0.229    & 0.041    & 0.112    & 0.087    
 FP1 & 0.042    & -      & 0.189    & 0.037    & 0.067    & 0.083    
 FP2 & 0.041    & 0.133    & 0.069    & 0.037    & 0.070    & 0.044    
 FZ & 0.068    & 0.218    & 0.242    & 0.055    & 0.146    & 0.098    
 O1 & 0.059    & 0.201    & 0.245    & 0.082    & 0.147    & 0.090    
 O2 & 0.039    & 0.182    & 0.186    & 0.090    & 0.124    & 0.072    
 P3 & 0.089    & 0.197    & 0.287    & 0.081    & 0.163    & 0.098    
 P4 & 0.069    & 0.181    & 0.293    & 0.062    & 0.151    & 0.109    
 PZ & 0.070    & 0.224    & 0.298    & 0.050    & 0.160    & 0.120    
 T3 & 0.100    & 0.150    & 0.213    & 0.087    & 0.137    & 0.057    
 T4 & 0.032    & 0.147    & 0.298    & 0.074    & 0.138    & 0.117    
 T5 & 0.096    & 0.183    & 0.277    & 0.052    & 0.152    & 0.099    
 T6 & 0.047    & 0.158    & 0.261    & 0.072    & 0.134    & 0.097    
 LOG & 0.177    & 0.248    & 0.340    & 0.192    & 0.239    & 0.074    
 ROG & 0.155    & 0.240    & 0.293    & 0.192    & 0.220    & 0.060    
 EMG & 0.025    & 0.110    & 0.293    & 0.009    & 0.109    & 0.130    
