45 -- 49,Elemental,23,18
,Primario,26,20
,Medio,28,22
,Superior,29,23
50 -- 54,Elemental,23,18
,Primario,27,21
,Medio,28,22
,Superior,29,23
55 -- 59,Elemental,22,17
,Primario,26,20
,Medio,28,22
,Superior,29,23
60 -- 64,Elemental,23,18
,Primario,26,20
,Medio,28,22
,Superior,29,23
65 -- 69,Elemental,22,17
,Primario,26,20
,Medio,28,22
,Superior,29,23
70 -- 74,Elemental,22,17
,Primario,25,20
,Medio,27,21
,Superior,28,22
75 -- 79,Elemental,21,16
,Primario,25,20
,Medio,27,21
,Superior,28,22
80 -- 84,Elemental,20,16
,Primario,25,20
,Medio,25,20
,Superior,27,21
>84,Elemental,19,15
,Primario,23,18
,Medio,26,20
,Superior,27,21
